alert text,priority,suggested action 
S784: RCS TU gateway A link ok,3,
S785: RCS TU gateway B link disturbed (Link status: n),3,
S785: RCS TU gateway B link ok,3,
S786: OCN?A failure (Link status: n),3,
S786: OCN?A failure ok,3,
S787: OCN?B failure (Link status: n),3,
S787: OCN?B failure ok,3,
S1025: HMI_A1 - OBCU_A1 connection failure - OCN A (Link status: n),3,
S1025: HMI_A1 - OBCU_A1 connection failure - OCN A Link ok,3,
S1026: HMI_A1 - OBCU_A1 connection failure - OCN B (Link status: n),3,
S1026: HMI_A1 - OBCU_A1 connection failure - OCN B Link ok,3,
S1027: HMI_A1 - OBCU_A2 connection failure - OCN A (Link status: n),3,
S1027: HMI_A1 - OBCU_A2 connection failure - OCN A Link ok,3,
S1028: HMI_A1 - OBCU_A2 connection failure - OCN B (Link status: n),3,
S1028: HMI_A1 - OBCU_A2 connection failure - OCN B Link ok,3,
S1029: HMI_A2 - OBCU_A1 connection failure - OCN A (Link status: n),3,
S1029: HMI_A2 - OBCU_A1 connection failure - OCN A Link ok,3,
S1030: HMI_A2 - OBCU_A1 connection failure - OCN B (Link status: n),3,
S1030: HMI_A2 - OBCU_A1 connection failure - OCN B Link ok,3,
S1031: HMI_A2 - OBCU_A2 connection failure - OCN A (Link status: n),3,
S1031: HMI_A2 - OBCU_A2 connection failure - OCN A Link ok,3,
S1032: HMI_A2 - OBCU_A2 connection failure - OCN B (Link status: n),3,
S1032: HMI_A2 - OBCU_A2 connection failure - OCN B Link ok,3,
S1033: HMI A1: Host controller communication error (Status: n),3,
S1033: HMI A1: Host controller communication ok,3,
S1034: HMI A1: Temperature warning (Status: n),3,
S1034: HMI A1: Temperature ok,3,
S1035: HMI A1: Temperature exceeded 闂?TFT is switched off (Status: n),3,
S1035: HMI A1: Temperature exceeded 闂?TFT is switched on,3,
S1036: HMI A1: Temperature exceeded 闂?HMI is switched off (Status: n),3,
S1036: HMI A1: Temperature exceeded 闂?HMI is switched on,3,
S1037: HMI A1: General error (Status: n),3,
S1037: HMI A1: No general error ,3,
S1038: HMI A2: Host controller communication error (Status: n),3,
S1038: HMI A2: Host controller communication ok,3,
S1039: HMI A2: Temperature warning (Status: n),3,
S1039: HMI A2: Temperature ok,3,
S1040: HMI A2: Temperature exceeded 闂?TFT is switched off (Status: n),3,
S1040: HMI A2: Temperature exceeded 闂?TFT is switched on,3,
S1041: HMI A2: Temperature exceeded 闂?HMI is switched off (Status: n),3,
S1041: HMI A2: Temperature exceeded 闂?HMI is switched on,3,
S1042: HMI A2: General error (Status: n),3,
S1042: HMI A2: No genaral error,3,
Level crossing power failed,3,
Level crossing power ok,3,
Level crossing failed,3,
Level crossing ok,3,
UCR request and XYSR acknowledge for UP track inconsistent,3,
UCR request and XYSR acknowledge for UP track ok,3,
UCR request and XYSR acknowledge for DOWN track inconsistent,3,
UCR request and XYSR acknowledge for DOWN track ok,3,
UCR request and XYSR acknowledge for Depot Track inconsistent,3,
UCR request and XYSR acknowledge for Depot Track ok,3,
Remote Local Control status inconsistent,3,
Remote Local Control status ok,3,
Track Circuit Interrupter status undefined,3,
Track Circuit Interrupter broken,3,
Track Circuit Interrupter not broken,3,
Lamp 1 proving failure,3,
Lamp 1 proving ok,3,
Lamp 2 proving failure,3,
Lamp 2 proving ok,3,
Lamp 3 proving failure,3,
Lamp 3 proving ok,3,
"Suppressor magnet active, inconsistent read back detected",3,
"Suppressor magnet active, read back ok",3,
"Suppressor magnet inactive, inconsistent read back detected",3,
"Suppressor magnet inactive, read back ok",3,
"Electro magnet active, inconsistent read back detected",3,
"Electro magnet active, read back ok",3,
"Electro magnet inactive, inconsistent read back detected",3,
"Electro magnet inactive, read back ok",3,
S10: Unit deactivated,3,
S10: Unit deactivated cleared,3,
E1: Unit deactivated,3,
E2: Read back error,3,
S0: Supervised condition failure,3,
S0: Supervised condition ok,3,
S1: Supervised condition 1 failure,3,
S1: Supervised condition 1 ok,3,
S2: Supervised condition 2 failure,3,
S2: Supervised condition 2 ok,3,
S3: Supervised condition 3 failure,3,
S3: Supervised condition 3 ok,3,
S4: Supervised condition 4 failure,3,
S4: Supervised condition 4 ok,3,
S5: Supervised condition 5 failure,3,
S5: Supervised condition 5 ok,3,
S6: Supervised condition 6 failure,3,
S6: Supervised condition 6 ok,3,
S7: Supervised condition 7 failure,3,
S7: Supervised condition 7 ok,3,
S8: Supervised condition 8 failure,3,
S8: Supervised condition 8 ok,3,
S9: Supervised condition 9 failure,3,
S9: Supervised condition 9 ok,3,
S10: Supervised condition 10 failure,3,
S10: Supervised condition 10 ok,3,
S11: Supervised condition 11 failure,3,
S11: Supervised condition 11 ok,3,
S12: Supervised condition 12 failure,3,
S12: Supervised condition 12 ok,3,
S13: Supervised condition 13 failure,3,
S13: Supervised condition 13 ok,3,
S14: Supervised condition 14 failure,3,
S14: Supervised condition 14 ok,3,
S15: Supervised condition 15 failure,3,
S15: Supervised condition 15 ok,3,
S16: Supervised condition 16 failure,3,
S16: Supervised condition 16 ok,3,
APG/PSD opening failure,3,
APG/PSD opening ok,3,
APG/PSD closing failure,3,
APG/PSD closing ok,3,
MGF extension failure,3,
MGF extension ok,3,
MGF retraction failure,3,
MGF retraction ok,3,
MGF Override key switch stuck,3,
MGF Override key switch not stuck,3,
MGF status override active,3,
MGF status override not active,3,
Key at signal switched to position SIGNAL NORMAL,3,
Key at signal switched to position SIGNAL AT RED,3,
Key at platform switched to position SIGNAL NORMAL,3,
Key at platform switched to position SIGNAL AT RED,3,
Floodgate not normal,3,
Floodgate normal,3,
Emergency override active,3,
Emergency override not active,3,
Main filament YE2 failed,3,
Main filament YE2 ,3,
FAO key switch stuck undefined,3,
FAO key switch stuck,3,
FAO key switch not stuck,3,
Activated,3,
Deactivated,3,
SW status: not connected,3,
SW status: active,3,
SW status: stand-by,3,
SW status: run-up,3,
Connection channel 1 failed,3,
Connection channel 1 ok,3,
Connection channel 2 failed,3,
Connection channel 2 ok,3,
Not all functions available,3,
All functions available,3,
Disturbed,3,
Not disturbed,3,
Offline,3,
Online,3,
Hard disk: High occupancy level,3,
Hard disk: Normal occupancy level,3,
Hard disk: Critical occupancy level,3,
Hard disk: Uncritical occupancy level,3,
Control area not observed,3,
Control area observed,3,
System status disturbed,3,
System status not disturbed,3,
System status disturbed,3,
System status not disturbed,3,
System status disturbed,3,
System status not disturbed,3,
Disturbed,3,
Not disturbed,3,
OHL section de-energized,3,
OHL section energized,3,
One-channelled,3,
Multi-channelled,3,
Both channels not available,3,
Both channels not available 2,3,
Channel state A unknown,3,
Channel A ok,3,
Channel A disturbed,3,
Channel state B unknown,3,
Channel B ok,3,
Channel B disturbed,3,
xxnnnn (nnnnnnn) inserted by Xnn,3,
xxnnnn (nnnnnnn)  deleted by Xnn,3,
Old xxnnnn (nnnnnnn) replaced with xxnnnn (nnnnnnn) by Xnn,3,
xxnnnn (nnnnnnn) switched to position n (from n) by Xnn,3,
xxnnnn  (nnnnnnn) stepped from iii Tnnnn by Xnn,3,
xxnnnn  (nnnnnnn) changed train direction to dddd by Xnn,3,
xxnnnn  (nnnnnnn) train marked as attended by Xnn,3,
xxnnnn  (nnnnnnn) train marked as non-attended by Xnn,3,
Depot exit:  xxnnnn (nnnnnnn) replaced with xxnnnn (nnnnnnn) ,3,
Depot entry:  xxnnnn (nnnnnnn) replaced with xxnnnn (nnnnnnn) ,3,
Spurious train FFnnnn (Fnnnnnn) generated,3,
xxnnnn (nnnnnnn) passed red signal iiii Snnnn,3,
Old xxnnnn (nnnnnnn) automatically replaced with xxnnnn (nnnnnnn),3,
xxnnnn (nnnnnnn) automatically inserted,3,
xxnnnn (nnnnnnn) automatically deleted,3,
TGMT stepped xxnnnn (nnnnnnn)  from Tnnnn,3,
TGMT enter xxnnnn (nnnnnnn) with nnnn,3,
Auto TD assignment: xxnnnn (nnnnnnn) replaced with xxnnnn (nnnnnnn),3,
Auto TD assignment of xxnnnn (nnnnnnn) unsuccessful,3,
xxnnnn (nnnnnnn) not controllable,3,
Just now route setting not possible for xxnnnn (nnnnnnn),3,
Route cannot be set for xxnnnn (nnnnnnn) due to long term obstacle,3,
Interlocking refused route setting for xxnnnn (nnnnnnn),3,
Destination track not scheduled for xxnnnn (nnnnnnn),3,
Activation distance impassable ,3,
No train length category for this number of cars,3,
Junction mode: Priority for IC Through train activated by Xnn,3,
Junction mode: Priority for IC Through train deactivated by Xnn,3,
Junction mode: Route setting not possible for xxnnnn (nnnnnnn),3,
ATR switched to manual regulation for all trains,3,
ATR switched to timetable regulation for all trains,3,
ATR switched to service recovery regulation for all trains,3,
ATR switched to headway regulation for all trains,3,
ATR switched to manual regulation for train xxnnnn (nnnnnnn),3,
ATR switched to timetable regulation for train xxnnnn (nnnnnnn),3,
Dwell time for all trains at platform sss_p set to nnnn s,3,
Dwell time for train xxnnnn (nnnnnnn) at platform sss_p set to nnnn s,3,
Travelling time for all trains from platform sss_p to platform sss_p set to nnnn s ,3,
Travelling time for train xxnnnn (nnnnnnn) from platform sss_p to platform sss_p set to nnnn s ,3,
Hold set at all platforms,3,
Release hold/skip set at all platforms,3,
Hold all trains with door open set at platform sss_p,3,
Skip all trains set at platform sss_p,3,
Release hold/skip for all trains set at platform sss_p,3,
Hold all trains with door close set at platform sss_p,3,
Hold with door open set for xxnnnn (nnnnnnn) at platform sss_p,3,
Skip set for xxnnnn (nnnnnn) at platform sss_p,3,
Automatic skip set for xxnnnn (nnnnnn) at platform sss_p,3,
Release hold/skip for xxnnnn (nnnnnn) set at platform sss_p,3,
Hold with door close set for xxnnnn (nnnnnnn) at platform sss_p,3,
Timetable preselection changed for dd,3,
New timetable loaded manually for 24 hours: ttttttttttttttttttt,3,
New timetable loaded manually for 48 hours: ttttttttttttttttttt,3,
Timetable generation for auto reformation activated,3,
Timetable ttttttttttttttttttt modified by tttttttttt,3,
Failed timetable modification on ttttttttttttttttttt by tttttttttt,3,
New timetable loaded automatically for 24 hours: ttttttttttttttttttt,3,
New timetable loaded automatically for 48 hours: ttttttttttttttttttt,3,
Failed to activate timetable generation for auto reformation,3,
xxnnnn (nnnnnnn) not in timetable,3,
Number of available preselections low,3,
Loading of timetable failed: ttttttttttttttttttt,3,
Failed to change timetable preselection for dd,3,
No recording possible on PC-COM ,3,
Recording is running again on PC-COM,3,
Noise reduction activated for NR_nnnnnn,3,
Unable to activate noise reduction for NR_nnnnnn,3,
Noise reduction deactivated for NR_nnnnnn,3,
Unable to deactivate noise reduction for NR_nnnnnn,3,
Noise reduction NR_nnnnnn defined,3,
Noise reduction NR_nnnnnn modified,3,
Noise reduction NR_nnnnnn deleted,3,
"NR_nnnnnn is in conflict, smaller value nnn remains active",3,
Responsibility resp activated,3,
Responsibility resp deactivated,3,
Access right accr activated,3,
Access right accr deactivated,3,
Username logon,3,
Username logoff,3,
User administration data changed Username by Xnn,3,
Automatic TSR delayed to prevent EB,3,
Automatic TSR: broken rail resolved,3,
Override of automatic TSR on TVS nnnn,3,
Change automatic TSR to nnn km/h on TVS nnnn,3,
Cancel override of automatic TSR on TVS nnnn,3,
Default automatic TSR value changed to nnn km/h,3,
Detection technology of TVS nnnn changed to TechnologyType,3,
TVS configuration imported from file FileName,3,
TVS configuration exported to file FileName,3,
Automatic TSR removed by interlocking on TVS nnnn,3,
